x,y,t,z,target
1.762407589534247476e+00,8.715201520864601648e-01,2.034817699948521241e+00,1.531102912200660970e+00,3.144567002692000724e-03
1.162135805304735037e+00,2.723188052987794094e+00,2.232096414904127801e+00,3.063516837673965765e-01,4.592306354436930665e-02
3.615073165690934509e+00,1.970314561088818639e+00,3.289450571670127221e+00,1.601978052586454204e+00,1.265369903989757398e-02
2.119367763779899771e+00,7.431689766593890800e-01,2.942110752538306784e+00,3.575421725540399720e-01,3.092955175526428558e-03
8.896189069183618736e-01,2.638002127903586125e+00,2.104822381569158019e+00,3.280059863968854295e+00,2.710655033506603057e-02
2.451080715968802615e+00,6.548154652623584537e-01,4.056953424847086764e-01,3.301393154407145314e+00,2.254477604648754904e-04
6.653357833592616899e-01,3.169239703632825700e-02,9.832783729818658225e-01,2.253918648752308407e+00,2.669085120633710889e-06
1.660647019206830111e-01,3.932754181554412476e+00,2.656927190922554249e+00,2.643463985721358434e+00,1.017968136362763371e-01
1.625151180020410147e+00,3.621784910417163328e+00,5.029328706572293584e-01,1.609997363031470785e+00,1.536389050618302068e-02
1.324366782961266809e-01,2.227387963157437589e+00,2.344600138458812211e+00,1.352199197393833541e-01,4.397321426470034156e-02
1.868768340425875030e+00,9.082379653294599953e-01,1.913428833405577123e+00,2.173102320321076864e+00,2.806192165319374397e-03
1.820441584338614582e+00,8.362468031543025537e-01,3.619028967419476217e+00,2.310163163065450664e+00,3.604326652679869496e-03
4.605499295676231952e-01,2.349378115449787252e+00,2.932810982102490804e+00,3.457349159054439625e+00,2.973623263847667911e-02
2.917262906280324142e+00,2.065106632560928634e+00,2.597914619011046367e-01,1.198725569364269994e+00,1.876369239129180126e-03
6.212953321178151800e-01,3.358449527723557537e+00,1.683266584181063896e+00,6.572104974462619764e-02,6.665127065677635410e-02
3.908579663464976761e+00,3.064475893537466966e+00,7.605924614669525852e-01,6.471450424485603037e-01,9.477278991470786118e-03
1.269815956914295052e+00,8.148106771952177141e-01,1.630387586758624607e+00,2.270772785730302612e+00,2.320021118692652297e-03
1.228432289148312373e+00,1.700336632279605631e+00,7.886419217339435406e-01,8.359540782144949667e-01,6.610119129169623152e-03
2.160443163273314315e+00,3.264975751713677266e+00,2.255761612580558850e+00,1.488257195160804569e+00,4.269259085000775417e-02
2.203149043654656580e+00,6.606738228804898139e-01,2.182595324341467968e+00,3.903833945916694415e+00,1.035227691492647756e-03
2.978913536142176355e+00,2.382569846292782678e+00,5.602174570679807619e-01,3.167743253851866836e+00,3.605714965413092665e-03
1.447126339927028216e+00,2.688687858800887565e+00,2.946278460709199187e+00,3.768796077142924084e+00,2.722345046831536192e-02
1.017156193510928341e+00,3.441545666579560958e+00,1.972795414468639486e+00,7.316539647868319785e-01,6.678106577855577597e-02
9.923329133908951327e-01,1.581303277713680844e+00,2.223399699781655858e+00,2.787663178958011301e+00,1.096223314421184564e-02
5.554937391138589087e-01,1.830831875009177878e+00,2.635571115937149766e+00,1.726277671273505065e+00,2.334124838524519879e-02
2.064532470855641400e+00,1.208018470180693971e+00,3.202235898988561758e+00,1.079052937769942933e+00,8.070591530663365903e-03
3.794224604366250198e+00,2.078194687209464320e+00,2.010877330349333025e+00,3.143976552088610266e+00,6.994678441315670472e-03
5.324736572859632977e-01,2.718584860982455442e+00,3.695428209400458908e+00,1.510965866986542894e+00,6.552820672786460743e-02
1.911449689705775890e-01,2.505530599087973376e-01,2.579802444943068984e+00,2.132112385568310842e+00,4.460177734148779811e-04
1.527494505204270325e+00,2.054380086685446027e+00,2.714292750119310593e+00,1.283578205495266245e+00,2.404379377169226645e-02
3.239976277262700766e+00,9.558562460766908409e-01,3.592262479995981916e+00,2.750064289690063113e+00,2.796073466795123003e-03
7.212184968217053571e-01,3.015156091981750386e+00,8.507685105832378802e-01,1.366829205352036114e+00,2.422132817242238570e-02
1.143502611639799937e+00,3.767913960408385554e-01,4.482471426962882921e-01,7.442526506455440227e-01,1.936575468595399304e-04
3.641468265831042661e+00,1.917959932206237506e+00,1.881847239942345262e-01,1.849399822699899998e+00,8.501518183765653528e-04
1.036701156577421790e+00,2.749228318605549504e+00,7.369608850408110312e-01,3.000193834832700635e+00,1.165185663394612860e-02
8.317534110187818630e-01,1.307688795441239282e+00,7.690603366476113090e-01,3.454519007541482889e+00,2.646940076135011460e-03
2.326667668430308478e+00,9.290540386631366276e-01,2.958300444678905627e+00,1.913802378710258711e+00,3.683263502328538996e-03
2.382416207042188816e+00,2.025341596157422153e+00,3.931400821055938355e+00,3.918633769129624689e+00,1.322903406896854157e-02
3.285325477888852763e+00,3.878199263227050331e+00,6.336122798031390557e-01,2.039558441375552533e+00,1.243778175121890671e-02
3.438407710829133546e+00,3.892291903390018071e+00,2.772915088852281773e+00,3.780850004955601307e+00,3.012846923474686231e-02
1.080182430968237739e+00,2.391005687079043318e-01,2.819652378583952235e+00,7.649135904283488330e-01,4.086630013584795456e-04
6.807203828862051775e-01,3.658059378898763203e+00,1.069460704977735155e+00,8.415798564149061800e-01,4.813287393175796902e-02
3.771793349835861342e+00,1.249032240457456311e+00,2.191405493349893874e+00,3.201193473471091178e+00,2.685778446896306196e-03
1.514099684127382828e+00,2.755589836057610320e+00,1.129896496615877322e+00,1.358404616940122711e+00,2.087259337623435795e-02
3.067834956512996314e+00,2.891889536604978161e+00,2.704378980053836035e+00,1.812237001927675895e+00,2.746877061638098791e-02
1.676050639452965063e+00,2.984528633687355104e+00,3.103023428051109867e-01,9.307408188532022564e-01,7.034233122085477991e-03
1.891739052812442479e+00,3.921500874342120024e+00,1.668044022554856509e+00,3.338921477624168244e+00,3.621848713476274323e-02
3.554166070010542633e+00,3.679420038877000643e+00,3.083799014691805507e+00,2.843283531788443508e+00,3.396902417948726577e-02
4.853472236943237594e-01,4.159633594319592231e-02,3.219119115750980864e+00,2.852455469769707541e+00,1.115580997485600806e-05
1.781302913702108581e+00,3.501065193457157498e+00,1.356559863228752327e+00,1.123361302836197284e+00,3.801956471267724236e-02
2.946669102066625801e+00,1.545006456146498230e+00,1.012434284685811425e+00,1.397913378575413867e+00,3.829912842932865855e-03
2.390235820326170657e+00,2.939082955846856748e+00,8.211077402221179655e-01,2.571702391502534546e+00,1.079681133057366384e-02
3.829077032939346203e+00,2.488004149953325417e+00,3.914121707648900550e+00,1.147622961325696300e+00,2.214968624616380291e-02
2.014939925054018754e+00,2.158337970696582453e-01,1.425845433002622897e+00,2.897996385407509479e+00,1.015363061071989536e-04
1.886434887324903942e+00,3.162563177628778810e+00,3.089047370497171929e+00,4.844606679746110700e-01,6.116942083742642200e-02
2.265995100606657875e+00,2.331398215398523543e+00,1.778530891658693713e+00,1.878262090784448946e+00,1.634016995457530583e-02
3.916526175203455473e+00,3.240859223650308873e+00,1.586425616613076794e+00,3.868504086080690740e+00,1.155976722999126072e-02
1.346537111142581900e+00,5.181184284208578683e-01,3.732678461471463094e-01,1.110770744135919808e+00,2.746125454150668221e-04
9.340681562386817793e-01,1.086546462949631087e+00,1.020974896245234742e+00,3.127449946627835597e+00,2.492660064266664314e-03
3.670272647586731551e+00,3.286034172119503438e+00,3.487942463658163739e+00,2.185733067505647220e+00,3.213644781443150689e-02
3.575841638279189549e+00,5.487186288446171262e-02,6.021966104058047026e-02,3.685206498120352503e+00,1.553030327088621880e-07
2.094597313523650861e+00,2.836531365206476973e+00,3.346890391190821212e+00,3.741729047527942775e+00,2.703345341499528015e-02
1.956848126565600143e+00,3.468714649329019739e+00,1.283604611708807131e+00,7.253391751047904012e-01,3.539035663641273283e-02
2.775568216502538821e+00,2.271936336044224625e+00,1.642566800592537568e+00,3.163464734098876407e-01,1.536365890004709467e-02
4.516713262043067223e-01,1.051203609961962382e+00,1.502951310516002226e-01,9.881678050620461562e-01,6.071844497736346566e-04
1.024827223741780369e+00,3.248922611504887925e+00,1.739570258708643458e+00,1.238446535690804984e+00,5.018804013585723145e-02
3.802437636830086731e+00,1.476494551440503900e+00,3.392311835020298538e+00,1.739147656591906621e+00,6.674509579862531600e-03
2.661558385030548202e+00,1.804881819555466116e+00,1.745822942292422741e+00,2.392359713939990584e+00,7.752981503928555070e-03
1.378047720724540959e+00,3.511414155131912018e+00,1.957279889953896790e+00,1.159415591997859929e+00,5.874880310318211785e-02
1.206610335393554889e+00,2.042689039748235125e+00,3.273601467444679169e+00,1.862118496004889101e+00,2.670343065831389320e-02
1.322967378270899497e+00,7.939620717841857633e-01,1.693993393258524272e+00,5.775570256928393986e-01,2.907324525159595257e-03
1.808198875931090077e+00,3.727391203204363457e+00,7.856404755086883462e-02,2.344952193199857149e+00,2.114668906363689066e-03
3.664381148599744065e-01,1.539520400865868499e+00,3.516265998478653731e+00,3.115071614507817443e+00,1.569527455025221743e-02
2.896936828527200802e+00,1.099750074376111719e+00,3.708254590846223664e+00,3.797097578239727600e-01,6.088817774674897855e-03
3.488999389434445320e+00,1.552733789432472200e+00,1.148366386285915919e+00,3.969413556844291202e-01,4.178878542397448589e-03
3.509961505026630846e+00,3.539608372001481928e+00,4.347862070676916657e-01,5.083616392097811687e-01,8.356594282067619436e-03
8.792208191723507316e-01,3.399767077828365736e+00,8.979708179342658081e-01,2.442260275210293763e+00,2.544040523637979348e-02
